CodeJeu|NomJeu|DateAchat|Emplacement|Marque|Annee_Edition|NbJoueurs|AgeJoueurs|Manque|TypeJeu|NbPieces|TempsJeu|EtatJeu|Descriptif1|Descriptif2|Descriptif3|LienImg|Commentaire|NbPoints|NiveauJeu|Classification|PrixEstimé|Auteur|Illustrateur|SurPlace|Contenu1|Contenu2
1157|boitier véritech|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1157 Boîtier Veritech.PNG||1|||0|||N||
1158|tubulo|12/11/2018||majuscule|||||1 motricité fine encast puzzle|1|||avec 24 fiches modèles| | |C:\Ludopret\Annexes\Images\1158 Tubulo.PNG||1|||0|||N||
1159|Véritech  français cycle 3 Lecture|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1159 Veritech Français cycle 3 lecture 1.PNG||1|||0|||N||
116|EXERCIC'ŒUFS|27/05/2012|||||||3 sensoriel musique|0||||||C:\Ludopret\Annexes\Images\116 Exercic'oeufs.PNG||1|||0|||N||
1160|Veritech Français cycle 3 vocabulaire|12/11/2018||Sed|||||5 lang graph ecriture lecture|1||||||C:\Ludopret\Annexes\Images\1160 Veritech Français cycle 3 vocabulaire 1.PNG||1|||0|||N||
1161|Les chansons à rimer et à articuler|12/11/2018||Nathan||||||1|||avec CD| | |C:\Ludopret\Annexes\Images\1161 Les chansons à rimer et articuler.PNG||1|||0|||N||
1162|le jeu des 5 sens|12/11/2018||majuscule|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1162 Le jeu des 5 sens.PNG||1|||0|||N||
1163|Birds in the nest|12/11/2018|||||||6 mathématiques|1||||||C:\Ludopret\Annexes\Images\1163 Birds in a nest.PNG||1|||0|Learning resources||N||
1164|pailles en plastique|09/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18||||C:\Ludopret\Annexes\Images\1164 Pailles en plastique.PNG||1|||0|||N||
1165|Logipic|09/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|reproduire des dessins en positionnant des picots de couleurs aimantés.| | |C:\Ludopret\Annexes\Images\1165 Logipic.PNG||1|||0|||N||
1166|dominos des fractions|09/11/2018|||||||6 mathématiques|1||neuf oct18||||C:\Ludopret\Annexes\Images\1166 Dominos des fractions.PNG||1|||0|||N||
1167|dominos des heures|09/11/2018|||||||7 aide autom assoc tps|1||neuf oct18||||C:\Ludopret\Annexes\Images\1167 Dominos des heures.PNG||1|||0|||N||
1168|thamographe|09/11/2018|||||||6 mathématiques|1||neuf oct18||||C:\Ludopret\Annexes\Images\1168 Thamographe.PNG||1|||0|||N||
1169|ciseaux|09/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18||||C:\Ludopret\Annexes\Images\1169 Ciseaux.PNG||1|||0|||N||
117|FICHES D'AUTO CORRECTION CHIFFRES|27/05/2012|||||||6 mathématiques|0||||||C:\Ludopret\Annexes\Images\117 Fiches d'autocorrection chiffres.PNG||1|||0|||N||
1170|dominos des doubles et des moitiés|09/11/2018|||||||6 mathématiques|1||neuf oct18||||C:\Ludopret\Annexes\Images\1170 Dominos des doubles et des moitiés.PNG||1|||0|||N||
1171|dominos des chiffres romains|09/11/2018|||||||6 mathématiques|1||neuf oct18|de I à XX| | |C:\Ludopret\Annexes\Images\1171 Dominos des chiffres romains.PNG||1|||0|||N||
1172|Ludus- modules à visser|09/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18||||C:\Ludopret\Annexes\Images\1172 Jeu Ludus , modules à visser.PNG||1|||0|||N||
1173|20 plaques sensorielles|09/11/2018|||||||3 sensoriel musique|1||neuf oct18||||C:\Ludopret\Annexes\Images\1173 20 plaques sensorielles.PNG||1|||0|||N||
