CodeJeu|NomJeu|DateAchat|AnneeAchat|PrixAchat|PrixEstime|NomFournisseur
394|Petit bac de découverte rouge avec accessoires|09/07/2013|2013|0|0|
395|Petit bac de découverte jaune avec accessoires|09/07/2013|2013|0|0|
396|Les véhicules collection Petits Pas|09/07/2013|2013|0|5|
397|Toboclic  le trésor de Toutankharton|08/10/2013|2013|0|0|
398|Toboclic 2 ninjas et demi|08/10/2013|2013|0|0|
399|Boîte à formes prisme triangulaire|04/01/2014|2014|0|0|
4|2ème LOT DE PLAQUES TACTILES|27/05/2012|2012|0|0|
40|Puzzle Gormiti 300 pièces|||0|10|
400|Boîte à formes petit cylindre|04/01/2014|2014|0|0|
401|Boîte à formes prisme carré|04/01/2014|2014|0|0|
402|Boîte à forme boule avec tiroir|04/01/2014|2014|0|0|
403|Encastrement fractions|04/01/2014|2014|0|0|
404|Formes à dessins métalliques avec supports en bois|04/01/2014|2014|0|0|
405|Boîte à serrures|04/01/2014|2014|0|0|
406|4 blocs de cylindres|04/01/2014|2014|0|0|
407|Les barres rouges|05/01/2014|2014|0|0|
408|Les barres rouges et bleues|05/01/2014|2014|0|0|
409|Poutre|05/01/2014|2014|0|0|
41|Les véhicules, collection Petits Pas|27/05/2012|2012|0|5|
410|Tunnel|05/01/2014|2014|0|0|
411|Encastrement disque|07/01/2014|2014|0|0|
412|Encastrement triangle|07/01/2014|2014|0|0|
413|Encastrement carré|07/01/2014|2014|0|0|
414|Boîte de jetons et chiffres|07/01/2014|2014|0|0|
415|Boîte à formes avec piécettes|07/01/2014|2014|0|0|
416|Boîte à forme prisme rectangulaire|07/01/2014|2014|0|0|
417|Disques sur tige horizontale|07/01/2014|2014|0|0|
418|Disques sur 3 tiges verticales|07/01/2014|2014|0|0|
419|Cube du binôme|07/01/2014|2014|0|0|
42|BALLON SAUTEUR|27/05/2012|2012|0|0|
420|Cube du trinôme|07/01/2014|2014|0|0|
421|Chiffres rugueux|07/01/2014|2014|0|0|
422|Introduction au système décimal 1|07/01/2014|2014|0|0|
423|Cylindres de pression|07/01/2014|2014|0|0|
424|3ème boîte de couleurs|07/01/2014|2014|0|0|
425|Première table de Seguin|07/01/2014|2014|0|0|
426|Deuxième table de Seguin|07/01/2014|2014|0|0|
427|Fuseaux avec boîte|07/01/2014|2014|0|0|
428|Tour rose + socle|07/01/2014|2014|0|0|
429|Escalier marron|07/01/2014|2014|0|0|
43|Les animaux du zoo - livre tactile|27/05/2012|2012|0|5|
430|Plateau passage disque|08/01/2014|2014|0|0|
431|Tableau de mesure des longueurs|08/01/2014|2014|0|0|
432|Plateau passage balle tricot|08/01/2014|2014|0|0|
433|3 disques différents sur tige verticale|08/01/2014|2014|0|0|
434|Présentoir à couleurs pour 3 balles tricot|08/01/2014|2014|0|0|
435|Ardoises avec lignes et carreaux x 2|08/01/2014|2014|0|0|
436|Boîte tactile avec ses objets|08/01/2014|2014|0|0|
437|Triangles constructeurs|08/01/2014|2014|0|0|
438|Cadre d'habillage - Petits crochets|08/01/2014|2014|0|0|
439|Cadre d'habillage - Lacets|08/01/2014|2014|0|0|
44|Filles et garçons Gallimard|27/05/2012|2012|0|5|
440|Cadre d'habillage - Epingles|08/01/2014|2014|0|0|
441|Cadre d'habillage - Fermeture éclair|08/01/2014|2014|0|0|
442|Cadre d'habillage - Pressions|08/01/2014|2014|0|0|
443|Cadre d'habillage - Grands boutons|08/01/2014|2014|0|0|
444|Cadre d'habillage - Petits boutons|08/01/2014|2014|0|0|
445|Cadre d'habillage - Rubans|08/01/2014|2014|0|0|
446|Cadre d'habillage - Cuir - Lacets|08/01/2014|2014|0|0|
447|Cadre d'habillage - Velcro|08/01/2014|2014|0|0|
448|Cadre d'habillage - Clips|08/01/2014|2014|0|0|
449|Cadre d'habillage - Ceinture|08/01/2014|2014|0|0|
45|BALLON WIGGLY GIGGLY|27/05/2012|2012|0|0|
450|Magic Tape-Tape|09/02/2014|2014|0|0|
451|Les chiffres à structurer|09/02/2014|2014|0|0|
452|Xylobells|09/02/2014|2014|0|0|
453|Les balles surprises|09/02/2014|2014|0|0|
454|KAKTUS|09/02/2014|2014|0|0|
455|Barbecue|09/02/2014|2014|0|0|
456|Initiation à l'écriture|09/02/2014|2014|0|0|
457|Système solaire motorisé|09/02/2014|2014|0|0|
458|Abaque de tri en bois|09/02/2014|2014|0|0|
459|Additionner et soustraire|09/02/2014|2014|0|0|
46|Mon premier alphabet|27/05/2012|2012|0|5|
460|Dessine avec des lacets|09/02/2014|2014|0|0|
461|Kit gros picots|09/02/2014|2014|0|0|
462|Planches d'apprentissage de l'écriture|09/02/2014|2014|0|0|
463|Jeu des alvéoles|09/02/2014|2014|0|0|
464|Jeu Recréer les fleurs|09/02/2014|2014|0|0|
465|Labyrinthe magnétique N°4|09/02/2014|2014|0|0|
466|Labyrinthe magnétique N°3|09/02/2014|2014|0|0|
467|Labyrinthe magnétique N°2|09/02/2014|2014|0|0|
468|Les sets d'écriture|09/02/2014|2014|0|0|
